conductor,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
"Hill, Ureli Corelli",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Timm, Henry C.",27,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown,20,34,36,84,23,67,109,258,144,174,254,133,179,148,402,946,1435,2085,172
"Etienne, Denis G.",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alpers, William",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not conducted,8,0,0,0,0,0,0,0,0,0,25,24,0,3,3,2,5,6,0
"Boucher, Alfred",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loder, George",68,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wiegers, Louis",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macfarren, George Alexander;  Loder, George",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisfeld, Theodore",29,225,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maretzek, Max",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bergmann, Carl",0,95,263,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bristow, George Frederick",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubinstein, Anton",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bergmann, Carl;  Neuendorff, Adolph",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matzka, George",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damrosch, Leopold",0,0,0,110,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schmelz, Reinhard",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Theodore",0,0,0,71,337,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neuendorff, Adolph",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damrosch, Walter",0,0,0,0,230,512,1978,1933,1179,22,14,0,0,0,0,0,0,0,0
"Damrosch, Leopold;  Bruch, Max",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruch, Max",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tchaikovsky, Pyotr Ilyich",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damrosch, Walter;  Tchaikovsky, Pyotr Ilyich",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seidl, Anton",0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seidl, Anton;  Dvorak, Antonín",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dvorak, Antonín",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Van Der Stucken, Frank",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Henschel, George",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damrosch, Frank",0,0,0,0,0,86,314,10,1,0,0,0,0,0,0,0,0,0,0
"Bimboni, Alberto",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paur, Emil",0,0,0,0,0,80,86,0,0,0,0,0,0,0,0,0,0,0,0
"Burckhardt, J.",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Bullerjahn, Rudolph",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Sapio, Romualdo",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Colonne, Edouard",0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"Kogel, Gustav Friedrich",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"Wood, Henry Joseph",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Herbert, Victor",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Weingartner, Felix",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"Safonoff, Wassily",0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0
"Strauss, Richard",0,0,0,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0
"Ysaye, Eugène",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"D'Albert, Eugen",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Panzner, Karl",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Mengelberg, Willem",0,0,0,0,0,0,4,0,1611,0,0,0,0,0,0,0,0,0,0
"Fiedler, Max",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Kunwald, Ernst",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Steinbach, Fritz",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Arens, Franz X.",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"German, Edward",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Reyl, Emil",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mahler, Gustav",0,0,0,0,0,0,224,211,0,0,0,0,0,0,0,0,0,0,0
"Claassen, Arthur;  Damrosch, Walter",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Stahlberg, Fritz",0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
"Hadley, Henry",0,0,0,0,0,0,0,4,541,6,0,0,0,0,0,0,0,0,0
"Spiering, Theodore",0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"Busoni, Ferruccio B.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kronold, Hans",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Stransky, Josef",0,0,0,0,0,0,0,4743,1253,0,0,0,0,0,0,0,0,0,0
"Broome, Edward",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Harris, Victor",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Damrosch, Walter;  Harris, Victor;  Chadwick, George Whitefield",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Chadwick, George Whitefield",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Boyle, George Frederick",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Schindler, Kurt",0,0,0,0,0,0,0,25,13,0,0,0,0,0,0,0,0,0,0
"Nowowiejski, Felix",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Schulz, Leo",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Elsenheimer, Nicholas",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Stransky, Josef;  Broome, Edward;  Knight, G. H.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Damrosch, Walter;  Schindler, Kurt",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Kolar, Victor",0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0
"Burck, Henry",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Laucella, Nicola",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mees, Arthur",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Hall, Walter Henry",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Koemmenich, Louis",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Smith, David Stanley",0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
"Rogers, Frederic",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cook, Isaac Milton",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Farrow, Miles",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Graff, Otto A.",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Gabrilowitsch, Ossip",0,0,0,0,0,0,0,5,12,9,0,0,0,0,0,0,0,0,0
"Bloch, Ernest",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Wilson, Mortimer",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Humiston, William H.",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Grainger, Percy",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Varese [Varèse], Edgard",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Bodanzky, Artur",0,0,0,0,0,0,0,70,115,0,0,0,0,0,0,0,0,0,0
"Ganz, Rudolph",0,0,0,0,0,0,0,1,54,150,396,0,0,0,0,0,0,0,0
"Riesenfeld, Hugo",0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0
"Pollain, Rene",0,0,0,0,0,0,0,11,83,0,0,0,0,0,0,0,0,0,0
"Willeke, Willem",0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0
"Foch, Dirk",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Rothwell, Walter Henry",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
"Coates, Albert",0,0,0,0,0,0,0,0,377,235,0,0,0,0,0,0,0,0,0
"Webber, Bertram S.",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Stransky, Josef;  Hadley, Henry",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Indy, Vincent d'",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Hoogstraten, Willem van",0,0,0,0,0,0,0,0,2154,769,0,0,0,0,0,0,0,0,0
"Finn, William",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
"Stokowski, Leopold",0,0,0,0,0,0,0,0,1,36,832,21,11,0,0,0,0,0,0
"Fricker, Herbert Austin",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Mannes, David",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Zeiner, Edward J. A.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Walter, Bruno",0,0,0,0,0,0,0,0,84,407,498,209,0,0,0,0,0,0,0
"Saminsky, Lazare",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Bridge, Frank",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Stoessel, Albert",0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0
"Waghalter, Ignatz",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Schelling, Ernest",0,0,0,0,0,0,0,0,502,507,0,0,0,0,0,0,0,0,0
"Hanson, Howard",0,0,0,0,0,0,0,0,1,0,12,0,2,0,0,0,0,0,0
"Golschmann, Vladimir",0,0,0,0,0,0,0,0,24,76,88,84,63,0,0,0,0,0,0
"Reiner, Fritz",0,0,0,0,0,0,0,0,199,232,248,12,0,0,0,0,0,0,0
"Volpe, Arnold",0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0
"Kibalchich, Basile",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Furtwangler [Furtwängler], Wilhelm",0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0
"Stravinsky, Igor",0,0,0,0,0,0,0,0,22,43,29,25,4,0,0,0,0,0,0
"Leginska, Ethel",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Vaughn, Clifford",0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
"Sokoloff, Nikolai",0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
"Goossens, Eugene",0,0,0,0,0,0,0,0,35,0,62,0,0,0,0,0,0,0,0
"Toscanini, Arturo",0,0,0,0,0,0,0,0,612,756,60,0,0,0,0,0,0,0,0
"Klemperer, Otto",0,0,0,0,0,0,0,0,106,152,0,0,0,0,0,0,0,0,0
"Stock, Frederick",0,0,0,0,0,0,0,0,141,7,0,0,0,0,0,0,0,0,0
"Shaeffer, Joseph",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Georgesco, Georges",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
"Lange, Hans",0,0,0,0,0,0,0,0,82,449,0,0,0,0,0,0,0,0,0
"Milhaud, Darius",0,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,0
"Taylor, Deems",0,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0
"Busch, Fritz",0,0,0,0,0,0,0,0,90,0,43,6,0,0,0,0,0,0,0
"Boergermann, Peter",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Monteux, Pierre",0,0,0,0,0,0,0,0,45,0,226,249,16,0,0,0,0,0,0
"Auer, Leopold",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Low, Leo",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Dubensky, Arkady",0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0
"Beecham, Thomas",0,0,0,0,0,0,0,0,27,138,28,0,0,0,0,0,0,0,0
"Molinari, Bernardino",0,0,0,0,0,0,0,0,140,63,0,0,0,0,0,0,0,0,0
"Rodzinski, Artur",0,0,0,0,0,0,0,0,9,174,1014,0,0,0,0,0,0,0,0
"Ravel, Maurice",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0
"Fried, Oscar",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Fernandez Arbos, Enrique",0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"Langley, Allan Lincoln",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Johnson, Hall",0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0
"Harris, Graham",0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"Honegger, Arthur",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Krauss, Clemens",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
"Mendoza, David",0,0,0,0,0,0,0,0,30,0,0,13,0,0,0,0,0,0,0
"Gershwin, George",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Ormandy, Eugene",0,0,0,0,0,0,0,0,7,69,55,0,0,12,4,0,0,0,0
"Kleiber, Erich",0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0
"Hoogstraten, Willem van;  Johnson, Hall",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Daly, William Merrigan, Jr.",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"Respighi, Ottorino",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"Dann, Hollis",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"Wagenaar, Bernard",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hoogstraten, Willem van;  Wagenaar, Bernard",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Labate, Bruno",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Cella, Theodore",0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0
"Coates, Albert;  Cella, Theodore",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Dobroven [Dobrowen], Issay Alexandrovich",0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
"Barzin, Leon",0,0,0,0,0,0,0,0,0,34,17,0,0,11,0,0,0,0,0
"Kindler, Hans",0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"Lange, Hans;  Johnson, Hall",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Whiteman, Paul",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"Iturbi, Jose",0,0,0,0,0,0,0,0,0,361,33,0,0,0,0,0,0,0,0
"Bamboschek, Giuseppe",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Smallens, Alexander",0,0,0,0,0,0,0,0,0,475,850,314,0,0,0,0,0,0,0
"Bennett, Robert Russell",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Iturbi, Jose;  Bennett, Robert Russell;  Taylor, Deems",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Iturbi, Jose;  Ross, Hugh",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hoffman, Ernst",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"Janssen, Werner",0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
"Hrdliczka, Gertrud",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Iturbi, Jose;  Cella, Theodore",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Smallens, Alexander;  Sciarretti, Alberto",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Harmati, Sandor",0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"Ross, Hugh",0,0,0,0,0,0,0,0,0,4,16,16,10,0,0,0,0,0,0
"Kerby, Paul",0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"Smallens, Alexander;  Sciaretti, Alberto",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"White, Paul",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Barbirolli , John",0,0,0,0,0,0,0,0,0,1251,523,25,12,0,0,0,0,0,0
"Enesco, Georges",0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0
"Chavez [Chávez], Carlos",0,0,0,0,0,0,0,0,0,26,0,23,8,0,0,0,0,0,0
"Bellison, Simeon",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Golschmann, Vladimir;  Camilieri, Lorenzo",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"Camilieri, Lorenzo",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"Fuerst, Eugene",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Cryer, Jon",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Reiner, Fritz;  Cella, Theodore",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Raudenbush, George King",0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"Smallens, Alexander;  Grofe, Ferde",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Grofe, Ferde",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Adler, F. Charles",0,0,0,0,0,0,0,0,0,10,92,0,0,0,0,0,0,0,0
"Piastro, Mishel",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Porter, Quincy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Barbirolli , John;  Porter, Quincy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Smallens, Alexander;  Blose, Johann M",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Marrow, Macklin",0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
"Smallens, Alexander;  Reich, Martin",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
